"RegionID";"Population";"PopulationDensity";"Incorporated"
394297;28257;680;1
394298;29609;595;1
394299;123420;446;1
394300;17840;336;1
394302;43689;994;1
394304;565208;1231;1
394305;33513;577;1
394306;89217;505;1
394307;62880;1218;1
394308;586383;1740;1
394309;17185;359;1
394310;17656;513;1
394311;37775;313;1
394312;761195;1155;1
394314;80129;625;1
394315;21204;310;1
394316;20510;601;1
394318;683794;2672;1
394319;16035;582;1
394320;13541;470;1
394321;74829;1710;1
394322;18418;385;1
394323;205603;756;1
394324;16939;516;1
394325;67910;935;1
394326;21241;1168;1
394327;288000;65;1
394330;15708;783;1
394331;11352;519;1
394332;322267;1659;1
394333;73501;179;1
394334;220570;1156;1
394335;19038;743;1
394336;24698;190;1
394337;10726;560;1
394338;312507;786;1
394339;20275;693;1
394340;27645;894;1
394341;14916;630;1
394342;10613;504;1
394343;29122;964;1
394344;16651;349;1
394345;12753;276;1
394346;141532;421;1
394347;5449398;1441;1
394348;237054;1354;1
394349;22994;679;1
394350;30507;1212;1
394351;92777;425;1
394352;390809;252;1
394353;22116;130;1
394354;25626;746;1
394355;1687311;1181;1
394356;12081;251;1
394357;579295;990;1
394358;2106068;2830;1
394359;59772;363;1
394360;13893;639;1
394362;20421;834;1
394363;39301;611;1
394365;16581;1068;1
394366;12220;362;1
394367;570308;983;1
394368;76514;463;1
394369;66107;1242;1
394370;18661;730;1
394371;12279;504;1
394372;146091;547;1
394373;18041;868;1
394374;57942;647;1
394375;14752;417;1
394376;18068;800;1
394377;13249;509;1
394378;130641;1287;1
394379;16807;409;1
394380;109802;1171;1
394381;11086;487;1
394383;11237;63;1
394384;13921;900;1
394385;28913;569;1
394386;120728;948;1
394387;148145;1635;1
394388;739573;553;1
394390;98345;827;1
394391;15526;784;1
394392;91888;865;1
394393;115884;1424;1
394395;49840;1226;1
394396;40640;411;1
394397;15693;250;1
394398;11504;467;1
394402;26146;1203;1
394403;12718;545;1
394404;4688346;5532;1
394405;124345;1551;1
394406;95135;690;1
394407;57695;945;1
394409;11311;946;1
394410;19583;426;1
394411;25033;212;1
394412;218400;561;1
394413;17863;534;1
394414;13666;572;1
394415;924449;3470;1
394417;11947;213;1
394418;11162;603;1
394419;24887;700;1
394421;227239;533;1
394422;21729;476;1
394423;53914;367;1
394424;11800;615;1
394425;914341;2441;1
394426;16342;654;1
394427;28474;662;1
394428;131043;707;1
394429;109763;1604;1
394430;34207;18;1
394431;11850;574;1
394432;34754;426;1
394433;14178;444;1
394434;14736;625;1
394435;10749;251;1
394436;14772;591;1
394439;269418;1040;1
394440;668382;708;1
394441;56551;538;1
394442;65671;556;1
394443;34031;368;1
394444;58756;149;1
394445;67598;843;1
394446;39995;374;1
394447;188038;720;1
394448;12819;422;1
394449;11285;807;1
394451;16204;575;1
394452;42922;904;1
394453;53083;1178;1
394454;159443;1503;1
394455;138706;570;1
394456;20117;874;1
394457;628377;480;1
394458;1512923;1113;1
394459;100416;1781;1
394460;415501;493;1
394462;79484;771;1
394463;8604203;4574;1
394464;117668;1191;1
394465;31999;804;1
394466;1662691;1507;1
394469;40403;604;1
394470;14894;414;1
394471;188746;618;1
394472;15961;581;1
394473;14114;564;1
394474;73596;648;1
394475;1710093;1893;1
394476;14383;688;1
394477;30177;275;1
394478;42168;626;1
394480;116834;1260;1
394481;9827;378;1
394482;18832;488;1
394483;215243;890;1
394484;642413;946;1
394485;141645;725;1
394486;560041;373;1
394488;261445;349;1
394489;59897;660;1
394490;31084;363;1
394491;23468;859;1
394492;1562009;1582;1
394493;43627;263;1
394494;14566;643;1
394495;50408;378;1
394496;32159;594;1
394498;11719;400;1
394499;14472;185;1
394500;20913;435;1
394501;19296;1319;1
394502;342464;789;1
394503;23906;401;1
394504;26729;1851;1
394505;67467;1592;1
394506;11347;533;1
394507;18242;643;1
394508;16849;1334;1
394509;17825;222;1
394511;19920;283;1
394513;47980;740;1
394514;5743938;1526;1
394515;86628;632;1
394516;47059;654;1
394517;19529;376;1
394518;45890;361;1
394519;71484;603;1
394520;285362;617;1
394522;13354;442;1
394523;68867;388;1
394524;87236;645;1
394525;10943;631;1
394526;18460;512;1
394527;44121;676;1
394528;198361;960;1
394529;13924;320;1
394530;2876625;1831;1
394531;473957;938;1
394532;3506126;1864;1
394533;23133;631;1
394535;16195;752;1
394536;27104;717;1
394537;72396;296;1
394538;14283;312;1
394539;117282;622;1
394540;20583;385;1
394541;11241;895;1
394542;68109;729;1
394543;119476;461;1
394544;13963;966;1
394545;22344;201;1
394547;20203;498;1
394548;19315;270;1
394549;424700;959;1
394550;20839;363;1
394551;55686;1216;1
394553;57577;1416;1
394554;17911;561;1
394555;107404;812;1
394556;9350;135;0
394557;14005;472;1
394558;11655;456;1
394559;111425;1478;1
394560;17706;420;1
394561;843386;1022;1
394562;22711;586;1
394563;78002;437;1
394564;11577;274;1
394565;147567;734;1
394566;21179;442;1
394567;24377;1074;1
394568;62989;1440;1
394569;24598;792;1
394570;49688;259;1
394571;38914;357;1
394572;184484;1926;1
394573;20094;368;1
394576;273439;1510;1
394577;44236;1098;1
394578;11641;436;1
394579;230427;962;1
394580;63245;375;1
394582;32847;826;1
394584;16313;906;1
394585;208675;967;1
394586;24250;608;1
394587;46331;808;1
394588;51309;497;1
394589;327435;552;1
394590;351246;625;1
394591;13794;368;1
394592;21476;67;1
394593;48469;810;1
394594;11135;373;1
394595;81974;438;1
394596;332190;1103;1
394597;93131;657;1
394598;79964;594;1
394599;55209;869;1
394600;25311;322;1
394601;13820;263;1
394602;312666;1149;1
394604;16026;268;1
394605;10321;412;1
394606;13349;862;1
394608;9048;567;1
394609;125354;536;1
394612;334122;943;1
394613;16136;761;1
394614;38852;725;1
394615;12567;490;1
394616;24092;787;1
394617;27456;977;1
394618;22191;720;1
394619;703498;1789;1
394620;60944;362;1
394621;21169;583;1
394622;202335;820;1
394623;167371;506;1
394624;16886;337;1
394625;33767;657;1
394626;22917;415;1
394627;29659;945;1
394628;11380;293;0
394629;11754;486;1
394630;7724;1796;1
394631;36032;538;1
394632;14485;352;1
394633;63499;1430;1
394634;27512;1128;1
394635;57278;462;1
394637;64748;784;1
394638;53296;665;1
394639;139143;621;1
394640;609314;1734;1
394641;55837;1279;1
394642;11833;231;1
394643;15144;550;1
394644;65131;982;1
394645;137810;858;1
394646;207557;887;1
394647;23683;338;1
394648;343090;887;1
394649;11960;495;1
394650;29613;417;1
394651;130118;1012;1
394652;12720;733;1
394653;484465;920;1
394654;19961;424;1
394655;42429;553;1
394656;12219;157;1
394658;220987;497;1
394659;10996;545;1
394660;184755;1272;1
394661;72413;589;1
394662;94028;1280;1
394663;17884;418;1
394666;442289;2343;1
394667;14097;450;1
394668;72386;1180;1
394669;905152;2712;1
394670;24692;653;1
394671;80138;331;1
394673;21421;955;1
394674;25877;743;1
394675;52936;760;1
394677;20238;676;1
394678;15164;919;1
394679;218323;536;1
394680;45056;325;0
394681;74139;372;1
394682;51206;707;1
394683;42095;572;1
394685;13478;206;0
394687;15949;1158;1
394689;60767;400;1
394690;15543;683;1
394691;140469;874;1
394692;5464251;1399;1
394693;10413;1086;1
394695;11134;740;1
394696;17942;734;1
394697;186034;1073;1
394698;319249;361;1
394699;42241;454;1
394700;13427;543;1
394701;42531;634;1
394702;13983;636;1
394703;100442;1011;1
394704;27142;2889;1
394705;1588961;935;1
394706;9037;407;1
394707;118041;1133;1
394708;18432;374;1
394709;55137;2209;1
394710;87110;1153;1
394711;325350;558;1
394712;74065;444;1
394713;12576;1378;1
394714;1181496;470;1
394715;21685;680;1
394716;108856;574;1
394717;14815;403;1
394718;15084;438;1
394719;40493;1255;1
394720;70755;732;1
394721;16477;457;1
394723;58025;457;1
394725;12198;229;1
394726;127571;599;1
394727;63141;1257;1
394728;78394;377;1
394729;84048;515;1
394730;31974;4;1
394731;31336;841;0
394732;215193;1192;1
394733;39182;789;1
394734;77429;668;1
394735;1636715;607;1
394736;10580;407;0
394737;34418;904;1
394738;22786;237;1
394739;10432;630;1
394740;10379;556;1
394741;240735;1186;1
394742;30623;418;1
394743;10652;838;1
394744;31401;1665;1
394745;20951;503;1
394746;258009;1073;1
394747;119666;397;1
394748;54791;1176;1
394749;25315;704;1
394750;26889;420;1
394751;17602;472;1
394752;43246;419;1
394753;586048;733;1
394755;79351;610;1
394756;100693;911;1
394758;15515;1149;1
394759;19371;322;1
394761;264357;877;1
394762;35721;277;0
394763;156181;674;1
394764;26271;402;1
394765;56820;465;1
394766;302284;654;1
394767;11241;691;1
394768;401524;3166;1
394770;324286;1164;1
394771;33929;688;1
394772;262491;958;1
394773;136254;519;1
394774;14662;637;1
394775;2104198;1773;1
394776;25844;436;1
394777;19889;462;1
394778;98648;1110;1
394779;11035;336;1
394780;93025;441;1
394781;14798;390;1
394783;78302;2397;1
394784;13755;510;1
394785;5708;2264;1
394786;12368;353;1
394787;53384;731;1
394788;58802;409;1
394789;21614;1545;1
394791;10345;867;1
394792;323152;439;1
394793;19174;647;1
394794;68878;1045;1
394795;16993;835;1
394796;289490;1160;1
394798;439815;634;1
394799;16490;1404;1
394800;101616;1126;1
394801;20608;648;1
394802;37714;269;1
394803;100330;565;1
394804;67081;1000;1
394805;12666;439;0
394807;1005654;905;1
394808;267648;741;1
394809;44867;395;1
394810;28279;446;1
394811;126814;647;1
394812;18006;620;1
394813;153159;237;1
394814;84086;1557;1
394815;18109;530;1
394816;447245;1263;1
394817;23580;404;1
394818;11467;335;1
394820;162877;1315;1
394821;57046;1062;1
394822;44770;707;1
394823;62889;868;1
394824;73326;583;1
394825;18671;580;1
394826;40588;691;1
394827;45181;1175;1
394829;26491;715;1
394830;13487;509;1
394831;12841;489;1
394833;26666;533;1
394835;10484;326;1
394836;31871;442;1
394837;12808;702;1
394838;26931;374;1
394840;11121;518;1
394841;11093;177;1
394842;18896;424;1
394843;804114;841;1
394844;16672;426;1
394845;15570;480;1
394846;13061;678;1
394847;22580;1117;1
394848;170876;1243;1
394849;1066967;792;1
394850;18159;467;1
394851;145149;1390;1
394852;36686;261;1
394854;11517;366;1
394855;15571;466;1
394856;6445545;5019;1
394857;65058;608;1
394858;13475;475;1
394859;58787;468;1
394860;154793;758;1
394861;31471;355;1
394862;1365787;2369;1
394864;15213;287;1
394865;2977172;3071;1
394866;49425;671;1
394867;92895;845;1
394868;15679;527;1
394869;13615;408;1
394870;315502;522;1
394871;383134;1933;1
394872;112891;623;1
394873;48317;834;1
394875;254634;479;1
394876;23478;413;1
394877;49760;504;1
394878;27728;693;1
394879;72458;1181;1
394880;61171;426;1
394881;26145;1436;1
394882;39002;519;1
394883;18602;329;1
394884;19119;337;1
394885;35694;1239;1
394886;16412;396;1
394887;11363;622;1
394888;15427;389;1
394889;21864;676;1
394890;71422;1130;1
394891;14317;407;1
394892;16945;927;1
394893;87879;958;1
394894;20776;642;1
394895;26168;501;1
394896;153565;998;1
394897;39789;331;1
394898;275579;568;1
394899;34420;460;1
394900;85239;1679;1
394901;22088;693;1
394902;1081903;544;1
394903;26095;356;1
394904;18859;297;1
394905;51308;409;1
394906;21555;898;1
394907;38930;1004;1
394908;564830;2690;1
394910;1020886;889;1
394911;46698;818;1
394912;13212;502;1
394913;18713220;10715;1
394914;11954;440;1
394915;11500;480;1
394917;11149;742;1
394918;30917;372;1
394919;27032;832;1
394920;24098;689;1
394921;11310;337;1
394922;18066;244;1
394923;20629;734;1
394924;200289;533;1
394925;35228;943;1
394927;169383;496;1
394928;10971;630;1
394930;155998;1052;1
394931;578523;1230;1
394932;10638;813;1
394933;13935;826;1
394934;26256;553;1
394935;972943;417;1
394936;20755;879;1
394937;200915;1119;1
394938;847819;1309;1
394939;17236;1231;1
394940;24704;821;1
394941;24423;775;1
394942;30365;542;1
394943;1822394;1003;1
394944;75536;958;1
394945;12592;553;1
394947;24368;593;1
394948;25704;682;1
394949;74068;1132;1
394951;38310;407;1
394952;387647;3040;1
394953;48481;475;1
394954;37298;47;0
394955;23738;413;1
394956;18243;352;1
394957;507002;456;1
394959;17230;730;1
394960;136133;382;1
394961;28986;351;1
394962;10536;300;1
394963;26010;272;1
394964;62566;961;1
394965;9477;345;1
394967;15813;315;1
394968;14040;552;1
394971;346921;903;1
394972;256286;888;1
394973;12642;772;1
394974;5649300;4554;1
394976;4219697;1253;1
394977;16832;233;1
394979;14659;410;1
394980;45204;365;1
394981;22711;592;1
394982;1703266;2093;1
394983;55697;402;1
394984;23424;560;1
394985;12100;738;1
394986;28740;1495;1
394987;12433;508;1
394988;72878;657;1
394989;10473;649;1
394990;24274;496;1
394992;11622;536;1
394993;20359;497;1
394994;24293;729;1
394995;461152;653;1
394996;11921;564;1
394997;203969;1185;1
394998;2074775;1894;1
394999;36111;725;1
395000;40685;1248;1
395003;13564;638;1
395004;12650;323;1
395005;1203230;3773;1
395006;500617;1080;1
395007;143932;789;1
395008;34506;1248;1
395009;20369;506;1
395010;44466;981;1
395011;130142;1915;1
395012;1038738;1254;1
395013;92664;546;1
395014;13963;1020;1
395015;267155;3466;1
395016;19039;742;1
395017;16320;180;1
395018;121313;599;1
395019;445020;907;1
395020;30979;1134;1
395021;42373;568;1
395022;1075798;1484;1
395023;40972;686;1
395024;48610;493;1
395025;2107852;1574;1
395026;12445;402;1
395027;22225;557;1
395028;214674;900;1
395029;10723;266;1
395030;119942;831;1
395031;703952;2220;1
395032;25913;451;1
395033;282762;873;1
395034;23016;437;1
395036;64018;471;1
395037;21059;650;1
395038;61537;449;1
395039;46228;843;1
395040;48889;617;1
395042;34205;397;1
395043;27717;399;1
395044;18131;771;1
395045;1898019;2029;1
395046;19987;450;1
395047;117958;1087;1
395048;266804;1382;1
395049;46550;698;1
395050;190972;2562;1
395051;106447;927;1
395053;1098526;699;1
395054;101004;653;1
395055;2049293;1231;1
395056;3220118;1686;1
395057;3592294;7256;1
395059;1798103;2218;1
395061;62290;1374;1
395062;46655;981;1
395063;35467;399;1
395065;176428;1957;1
395066;111269;625;1
395068;324634;1605;1
395069;13420;351;1
395070;276295;536;1
395071;17281;1024;1
395072;25114;847;1
395073;14436;110;1
395075;384250;1169;1
395077;26889;498;1
395078;3789215;3469;1
395079;26118;720;1
395080;62250;404;1
395081;26473;619;1
395082;5902;1244;1
395083;19775;481;1
395085;27439;418;1
395086;25557;275;1
395087;23598;634;1
395088;36067;278;1
395089;69393;1184;1
395090;26973;346;1
395091;22101;462;1
395092;20264;708;1
395093;19320;546;1
395094;70704;372;1
395095;11442;67;1
395096;280062;672;1
395097;21148;659;1
395098;51731;109;1
395099;16237;345;1
395100;11561;358;1
395102;106455;545;1
395103;187239;907;1
395104;11371;473;1
395105;30053;381;1
395106;11738;828;1
395107;280498;938;1
395109;182701;730;1
395110;12836;275;1
395111;10952;386;1
395112;11530;442;1
395113;412275;1247;1
395114;158509;723;1
395115;623401;1860;1
395116;288090;786;1
395117;82820;883;1
395118;115028;660;1
395119;120899;449;1
395120;79161;656;1
395121;2024074;1879;1
395122;37556;314;1
395124;32546;388;1
395125;87723;3572;1
395126;42102;854;1
395128;59433;483;1
395129;21247;690;1
395130;15780;752;1
395131;27127;965;1
395132;42837;581;1
395133;50299;657;1
395134;397264;1941;1
395135;11066;755;1
395136;12881;622;1
395137;16234;309;1
395138;10331;408;1
395139;71518;469;1
395140;27921;1786;1
395141;15010;729;1
395142;10469;365;1
395143;404223;2195;1
395144;19773;520;1
395145;15457;233;1
395146;257601;747;1
395148;2908063;1353;1
395149;14196;381;1
395150;12659;387;1
395151;92490;677;1
395152;77964;482;1
395153;79372;978;0
395154;13759;354;1
395155;24275;476;1
395157;19130;988;1
395158;24466;515;1
395159;10647;338;1
395160;482111;1308;1
395161;147458;787;1
395162;40003;330;1
395163;50522;729;1
395164;290716;4238;1
395165;18957;258;1
395166;16735;199;1
395167;888486;889;1
395168;19555;322;1
395169;671033;784;1
395170;45466;229;1
395171;155499;631;1
395173;55556;1008;1
395174;143796;718;1
395175;29561;1290;1
395176;10325;330;1
395178;11404;556;1
395179;112650;1376;1
395181;18406;806;1
395182;79820;606;1
395183;173256;1524;1
395185;10676;541;1
395186;10926;923;1
395187;19893;871;1
395188;10323;504;1
395189;26340;253;1
395190;68078;694;1
395191;13350;224;1
395192;19498;878;1
395193;93239;335;1
395194;1478868;709;1
395195;237386;1370;1
395196;9941;398;1
395197;192315;605;1
395198;11067;572;1
395199;57860;926;1
395201;10500;585;1
395202;155140;805;1
395203;14370;1200;1
395204;22410;838;1
395205;33708;437;1
395206;15059;618;1
395207;13565;729;1
395208;16014;447;1
395209;5379184;4457;1
395210;111631;423;1
395211;22174;472;1
395212;23479;750;1
395213;53163;1061;1
395214;13992;565;1
395215;73593;774;1
395216;23671;438;1
395217;65578;390;1
395218;72350;1312;1
395219;12304;358;1
395221;75392;740;1
395222;14895;650;1
395223;104683;561;1
395224;482249;931;1
395225;53861;1246;1
395227;29844;483;1
395228;20510;549;1
395229;255616;929;1
395230;12366;438;1
395231;49483;613;1
395232;74417;1179;1
395234;29601;539;1
395236;12121;357;1
395238;498328;1916;1
395239;13099;645;1
395240;133191;1300;1
395241;14872;660;1
395244;233184;3204;1
395245;378732;744;1
395246;120456;1736;1
395247;142847;313;1
395248;41589;825;1
753865;21184;420;1
753866;7533;401;1
753869;133846;1100;1
753871;7818;316;1
753872;14815;444;0
753874;9553;687;1
753875;39072;606;1
753877;6377;683;0
753878;10410;364;1
753879;10899;742;1
753880;11367;615;1
753881;11962;656;1
753884;11409;853;1
753887;29512;838;1
753889;11223;542;1
753890;100432;768;1
753892;11462;292;1
753893;13322;206;1
753895;157820;942;1
753899;12750807;3276;1
753901;10752;931;1
753902;11851;427;1
753903;21267;611;1
753904;13454;520;1
753905;12155;419;1
753906;209070;274;1
753908;12761;814;1
753909;12254;479;1
753911;14284;161;1
753912;45935;384;1
753914;11854;450;1
753915;17571;697;1
753916;13145;808;1
753917;140545;1815;1
753918;10107;515;1
753920;28035;593;1
753921;14087;516;1
753923;20442;913;1
753925;2123;664;0
753926;12017;686;1
753927;10764;305;1
753928;27966;490;1
753929;5717;288;0
